variable_name,variable_label,value_labels
CARS9B_W27,"CARS9B. Would you strongly favor, favor, oppose, or strongly oppose the following rules and regulations for driverless vehicles? Restricting them from traveling near certain areas, such as schools","{1.0: 'Strongly favor', 2.0: 'Favor', 3.0: 'Oppose', 4.0: 'Strongly oppose', 99.0: 'Refused'}"
CARS9C_W27,"CARS9C. Would you strongly favor, favor, oppose, or strongly oppose the following rules and regulations for driverless vehicles? Requiring them to have a person in the driver's seat who could take control in an emergency situation","{1.0: 'Strongly favor', 2.0: 'Favor', 3.0: 'Oppose', 4.0: 'Strongly oppose', 99.0: 'Refused'}"
CARS10A_W27,"CARS10A. If driverless vehicles become widespread, which of the following do you think are likely to happen as a result? Elderly and disabled people will be able to live more independently","{1.0: 'Yes, likely', 2.0: 'No, not likely', 99.0: 'Refused'}"
CARS10B_W27,"CARS10B. If driverless vehicles become widespread, which of the following do you think are likely to happen as a result? Many people who drive for a living would lose their jobs","{1.0: 'Yes, likely', 2.0: 'No, not likely', 99.0: 'Refused'}"
CARS10C_W27,"CARS10C. If driverless vehicles become widespread, which of the following do you think are likely to happen as a result? Owning a car would become much less important to people","{1.0: 'Yes, likely', 2.0: 'No, not likely', 99.0: 'Refused'}"
CARS10D_W27,"CARS10D. If driverless vehicles become widespread, which of the following do you think are likely to happen as a result? Most people would never learn how to drive a car on their own","{1.0: 'Yes, likely', 2.0: 'No, not likely', 99.0: 'Refused'}"
CARS10E_W27,"CARS10E. If driverless vehicles become widespread, which of the following do you think are likely to happen as a result? There would be much less traffic in major cities","{1.0: 'Yes, likely', 2.0: 'No, not likely', 99.0: 'Refused'}"
WORK2_W27,"WORK2. On a different subject...Would you say that society generally places TOO MUCH importance on working and having a job, NOT ENOUGH importance on working and having a job, or is it just about right?","{1.0: 'Too much importance', 2.0: 'Not enough importance', 3.0: 'Just about right', 99.0: 'Refused'}"
WORK3A_W27,"WORK3A. Have the following technologies had a [positive impact, a negative impact / negative impact, positive impact], or no impact either way on you and your job or career? Industrial robots","{1.0: 'Positive impact', 2.0: 'Negative impact', 3.0: 'No impact either way', 99.0: 'Refused'}"
WORK3B_W27,"WORK3B. Have the following technologies had a [positive impact, a negative impact / negative impact, positive impact], or no impact either way on you and your job or career? Word processing or spreadsheet software","{1.0: 'Positive impact', 2.0: 'Negative impact', 3.0: 'No impact either way', 99.0: 'Refused'}"
WORK3C_W27,"WORK3C. Have the following technologies had a [positive impact, a negative impact / negative impact, positive impact], or no impact either way on you and your job or career? Email or social media","{1.0: 'Positive impact', 2.0: 'Negative impact', 3.0: 'No impact either way', 99.0: 'Refused'}"
WORK3D_W27,"WORK3D. Have the following technologies had a [positive impact, a negative impact / negative impact, positive impact], or no impact either way on you and your job or career? Software that manages your daily work schedule or routine","{1.0: 'Positive impact', 2.0: 'Negative impact', 3.0: 'No impact either way', 99.0: 'Refused'}"
WORK3E_W27,"WORK3E. Have the following technologies had a [positive impact, a negative impact / negative impact, positive impact], or no impact either way on you and your job or career? Smartphones","{1.0: 'Positive impact', 2.0: 'Negative impact', 3.0: 'No impact either way', 99.0: 'Refused'}"
WORK3F_W27,"WORK3F. Have the following technologies had a [positive impact, a negative impact / negative impact, positive impact], or no impact either way on you and your job or career? Technologies that help customers serve themselves on their own","{1.0: 'Positive impact', 2.0: 'Negative impact', 3.0: 'No impact either way', 99.0: 'Refused'}"
WORK4A_W27,"WORK4A. Thinking about how DEMANDING your work is, has technology generally made your work...","{1.0: 'More demanding', 2.0: 'Less demanding', 3.0: 'No impact either way', 99.0: 'Refused'}"
WORK4B_W27,"WORK4B. Thinking about how INTERESTING your work is, has technology generally made your work...","{1.0: 'More interesting', 2.0: 'Less interesting', 3.0: 'No impact either way', 99.0: 'Refused'}"
WORK4C_W27,"WORK4C. Thinking about opportunities for advancement in your career, do you feel that technology has...","{1.0: 'Increased your opportunities', 2.0: 'Decreased your opportunities', 3.0: 'No impact either way', 99.0: 'Refused'}"
ROBJOB1_W27,"ROBJOB1. Please consider the following scenario...New developments in robotics and computing are changing the nature of many jobs...How much have you heard, read, or thought about this idea before today?","{1.0: 'A lot', 2.0: 'A little', 3.0: 'Nothing at all', 99.0: 'Refused'}"
ROBJOB2_W27,"ROBJOB2. Based on what you know, does this concept seem...","{1.0: 'Extremely realistic', 2.0: 'Somewhat realistic', 3.0: 'Not very realistic', 4.0: 'Not at all realistic', 99.0: 'Refused'}"
ROBJOB3A_W27,"ROBJOB3A. How ENTHUSIASTIC are you, if at all, about this possibility for society as a whole?","{1.0: 'Very enthusiastic', 2.0: 'Somewhat enthusiastic', 3.0: 'Not too enthusiastic', 4.0: 'Not at all enthusiastic', 99.0: 'Refused'}"
ROBJOB3B_W27,"ROBJOB3B. How WORRIED are you, if at all, about this possibility for society as a whole?","{1.0: 'Very worried', 2.0: 'Somewhat worried', 3.0: 'Not too worried', 4.0: 'Not at all worried', 99.0: 'Refused'}"
ROBJOB4A_W27,ROBJOB4A. Do you think the following are likely or not likely to happen as a result? Inequality between rich and poor would be much worse than it is today,"{1.0: 'Yes, likely', 2.0: 'No, not likely', 99.0: 'Refused'}"
ROBJOB4B_W27,ROBJOB4B. Do you think the following are likely or not likely to happen as a result? People would have a hard time finding things to do with their lives,"{1.0: 'Yes, likely', 2.0: 'No, not likely', 99.0: 'Refused'}"
ROBJOB4C_W27,ROBJOB4C. Do you think the following are likely or not likely to happen as a result? People would be able to focus less on work and more on the things that really matter to them in life,"{1.0: 'Yes, likely', 2.0: 'No, not likely', 99.0: 'Refused'}"
ROBJOB4D_W27,ROBJOB4D. Do you think the following are likely or not likely to happen as a result? The economy as a whole would be much more efficient,"{1.0: 'Yes, likely', 2.0: 'No, not likely', 99.0: 'Refused'}"
ROBJOB4E_W27,"ROBJOB4E. Do you think the following are likely or not likely to happen as a result? The economy would create many new, better-paying jobs for humans","{1.0: 'Yes, likely', 2.0: 'No, not likely', 99.0: 'Refused'}"
ROBJOB4F_W27,ROBJOB4F. Do you think the following are likely or not likely to happen as a result? Humans would find their jobs more meaningful and fulfilling since machines would mostly be doing things that humans find unappealing,"{1.0: 'Yes, likely', 2.0: 'No, not likely', 99.0: 'Refused'}"
ROBJOB5A_W27,ROBJOB5A. Would you favor or oppose the following? If the federal government provided all Americans with a guaranteed income that would allow them to meet their basic needs,"{1.0: 'Strongly favor', 2.0: 'Favor', 3.0: 'Oppose', 4.0: 'Strongly oppose', 99.0: 'Refused'}"
ROBJOB5B_W27,ROBJOB5B. Would you favor or oppose the following? If robots and computers were mostly limited to doing jobs that are dangerous or unhealthy for humans to do,"{1.0: 'Strongly favor', 2.0: 'Favor', 3.0: 'Oppose', 4.0: 'Strongly oppose', 99.0: 'Refused'}"
ROBJOB5C_W27,"ROBJOB5C. Would you favor or oppose the following? If people had the option of paying extra to interact with a human, rather than a robot or computer, when buying a product or service","{1.0: 'Strongly favor', 2.0: 'Favor', 3.0: 'Oppose', 4.0: 'Strongly oppose', 99.0: 'Refused'}"
ROBJOB5D_W27,ROBJOB5D. Would you favor or oppose the following? If the federal government created a national service program that paid people to perform tasks even if a robot or computer could do those tasks faster or cheaper,"{1.0: 'Strongly favor', 2.0: 'Favor', 3.0: 'Oppose', 4.0: 'Strongly oppose', 99.0: 'Refused'}"
ROBJOB6_W27,"ROBJOB6. Which of the following statements best describes how you feel, even if neither is exactly right?","{1.0: 'The government would have an obligation to take care of people whose jobs are displaced by robots and computers...', 2.0: 'Individuals would have an obligation to take care of their own financial well-being, even if robots and computers...', 99.0: 'Refused'}"
ROBJOB7_W27,"ROBJOB7. Which of the following statements best describes how you feel, even if neither is exactly right?","{1.0: 'If businesses can receive better work at lower cost by replacing humans with robots and computers, they are justified...', 2.0: 'There should be limits on how many jobs businesses can replace with robots and computers, even if they can do those...', 99.0: 'Refused'}"
ROBJOB8A_W27,"ROBJOB8A. Do you think it is very likely, somewhat likely, not very likely, or not at all likely that the following jobs will be mostly replaced by robots or computers in your lifetime? Software engineer","{1.0: 'Very likely', 2.0: 'Somewhat likely', 3.0: 'Not very likely', 4.0: 'Not at all likely', 99.0: 'Refused'}"
ROBJOB8B_W27,"ROBJOB8B. Do you think it is very likely, somewhat likely, not very likely, or not at all likely that the following jobs will be mostly replaced by robots or computers in your lifetime? Legal clerk","{1.0: 'Very likely', 2.0: 'Somewhat likely', 3.0: 'Not very likely', 4.0: 'Not at all likely', 99.0: 'Refused'}"
ROBJOB8C_W27,"ROBJOB8C. Do you think it is very likely, somewhat likely, not very likely, or not at all likely that the following jobs will be mostly replaced by robots or computers in your lifetime? Nurse","{1.0: 'Very likely', 2.0: 'Somewhat likely', 3.0: 'Not very likely', 4.0: 'Not at all likely', 99.0: 'Refused'}"
ROBJOB8D_W27,"ROBJOB8D. Do you think it is very likely, somewhat likely, not very likely, or not at all likely that the following jobs will be mostly replaced by robots or computers in your lifetime? Construction worker","{1.0: 'Very likely', 2.0: 'Somewhat likely', 3.0: 'Not very likely', 4.0: 'Not at all likely', 99.0: 'Refused'}"
ROBJOB8E_W27,"ROBJOB8E. Do you think it is very likely, somewhat likely, not very likely, or not at all likely that the following jobs will be mostly replaced by robots or computers in your lifetime? Fast food worker","{1.0: 'Very likely', 2.0: 'Somewhat likely', 3.0: 'Not very likely', 4.0: 'Not at all likely', 99.0: 'Refused'}"
ROBJOB8F_W27,"ROBJOB8F. Do you think it is very likely, somewhat likely, not very likely, or not at all likely that the following jobs will be mostly replaced by robots or computers in your lifetime? Teacher","{1.0: 'Very likely', 2.0: 'Somewhat likely', 3.0: 'Not very likely', 4.0: 'Not at all likely', 99.0: 'Refused'}"
ROBJOB8G_W27,"ROBJOB8G. Do you think it is very likely, somewhat likely, not very likely, or not at all likely that the following jobs will be mostly replaced by robots or computers in your lifetime? Insurance claims processor","{1.0: 'Very likely', 2.0: 'Somewhat likely', 3.0: 'Not very likely', 4.0: 'Not at all likely', 99.0: 'Refused'}"
ROBJOB9_W27,"ROBJOB9. How likely, if at all, do you think it is that YOUR OWN job or profession will be mostly done by robots or computers in your lifetime?","{1.0: 'Very likely', 2.0: 'Somewhat likely', 3.0: 'Not very likely', 4.0: 'Not at all likely', 99.0: 'Refused'}"
WORK5A_W27,"WORK5A. Have you yourself ever lost a job because your employer replaced your position with a machine, robot or computer program?","{1.0: 'Yes', 2.0: 'No', 3.0: ""I'm not sure"", 99.0: 'Refused'}"
WORK5B_W27,"WORK5B. When you lost a job for this reason, was your next job...","{1.0: 'A job you liked better', 2.0: 'A job you liked worse', 3.0: 'A similar job', 4.0: 'Did not find a new job', 99.0: 'Refused'}"
WORK6_W27,"WORK6. Have you ever had your pay or hours reduced because your employer replaced some aspect of your job with a machine, robot or computer program?","{1.0: 'Yes', 2.0: 'No', 3.0: ""I'm not sure"", 99.0: 'Refused'}"
WORK7_W27,"WORK7. Do you personally KNOW anyone who has lost a job, or had their pay or hours reduced, because their employer replaced their work with a machine, robot or computer program?","{1.0: 'Yes', 2.0: 'No', 99.0: 'Refused'}"
CAREGIV1_W27,"CAREGIV1. Next, please consider the following scenario...Today, many older adults move into assisted living facilities when they can no longer live independently...How much have you heard, read, or thought about this idea before today?","{1.0: 'A lot', 2.0: 'A little', 3.0: 'Nothing at all', 99.0: 'Refused'}"
CAREGIV2_W27,"CAREGIV2. Based on what you know, does this concept seem...","{1.0: 'Extremely realistic', 2.0: 'Somewhat realistic', 3.0: 'Not very realistic', 4.0: 'Not at all realistic', 99.0: 'Refused'}"
CAREGIV3A_W27,"CAREGIV3A. How ENTHUSIASTIC are you, if at all, about this possibility for society as a whole?","{1.0: 'Very enthusiastic', 2.0: 'Somewhat enthusiastic', 3.0: 'Not too enthusiastic', 4.0: 'Not at all enthusiastic', 99.0: 'Refused'}"
CAREGIV3B_W27,"CAREGIV3B. How WORRIED are you, if at all, about this possibility for society as a whole?","{1.0: 'Very worried', 2.0: 'Somewhat worried', 3.0: 'Not too worried', 4.0: 'Not at all worried', 99.0: 'Refused'}"
CAREGIV4_W27,"CAREGIV4. Would you, personally, be interested in this type of robot caregiver for yourself or a member of your family?","{1.0: 'Yes', 2.0: 'No', 99.0: 'Refused'}"
CAREGIV6A_W27,"CAREGIV6A. If robot caregivers such as these were developed, do you think the following are likely or not likely to happen as a result? Young people would feel less worried about caring for their aging relatives","{1.0: 'Yes, likely', 2.0: 'No, not likely', 99.0: 'Refused'}"
CAREGIV6B_W27,"CAREGIV6B. If robot caregivers such as these were developed, do you think the following are likely or not likely to happen as a result? Society would save money on caring for older adults","{1.0: 'Yes, likely', 2.0: 'No, not likely', 99.0: 'Refused'}"
CAREGIV6C_W27,"CAREGIV6C. If robot caregivers such as these were developed, do you think the following are likely or not likely to happen as a result? Many older adults would treat their robot caregiver like a human friend","{1.0: 'Yes, likely', 2.0: 'No, not likely', 99.0: 'Refused'}"
CAREGIV6D_W27,"CAREGIV6D. If robot caregivers such as these were developed, do you think the following are likely or not likely to happen as a result? Older adults would feel more isolated than they do today","{1.0: 'Yes, likely', 2.0: 'No, not likely', 99.0: 'Refused'}"
CAREGIV6E_W27,"CAREGIV6E. If robot caregivers such as these were developed, do you think the following are likely or not likely to happen as a result? Older adults would feel more independent and self-sufficient","{1.0: 'Yes, likely', 2.0: 'No, not likely', 99.0: 'Refused'}"
CAREGIV6F_W27,"CAREGIV6F. If robot caregivers such as these were developed, do you think the following are likely or not likely to happen as a result? These robots would only be used by people who could not afford a human caregiver for their loved one","{1.0: 'Yes, likely', 2.0: 'No, not likely', 99.0: 'Refused'}"
CAREGIV7_W27,"CAREGIV7. Would you feel better, worse, or would it not make a difference if the robot caregiver in this scenario had a camera so that a human operator could monitor the situation at all times?","{1.0: 'Better', 2.0: 'Worse', 3.0: 'No difference', 99.0: 'Refused'}"
HIRING1_W27,"HIRING1. Today, when companies are hiring they typically have someone read applicants’ resumes and conduct personal interviews to choose the right person for the job...How much have you heard, read, or thought about this idea before today?","{1.0: 'A lot', 2.0: 'A little', 3.0: 'Nothing at all', 99.0: 'Refused'}"
HIRING2_W27,"HIRING2. Based on what you know, does this concept seem...","{1.0: 'Extremely realistic', 2.0: 'Somewhat realistic', 3.0: 'Not very realistic', 4.0: 'Not at all realistic', 99.0: 'Refused'}"
HIRING3A_W27,"HIRING3A. How ENTHUSIASTIC are you, if at all, about this possibility for society as a whole?","{1.0: 'Very enthusiastic', 2.0: 'Somewhat enthusiastic', 3.0: 'Not too enthusiastic', 4.0: 'Not at all enthusiastic', 99.0: 'Refused'}"
HIRING3B_W27,"HIRING3B. How WORRIED are you, if at all, about this possibility for society as a whole?","{1.0: 'Very worried', 2.0: 'Somewhat worried', 3.0: 'Not too worried', 4.0: 'Not at all worried', 99.0: 'Refused'}"
HIRING4_W27,"HIRING4. Would you, personally, want to apply for a job that used this type of computer program to make hiring decisions?","{1.0: 'Yes', 2.0: 'No', 99.0: 'Refused'}"
HIRING6A_W27,"HIRING6A. Do you think these computer programs would do a better job, a worse job, or do about the same as humans when it comes to… Hiring candidates who are well-qualified","{1.0: 'Better job than humans', 2.0: 'Worse job than humans', 3.0: 'About the same', 99.0: 'Refused'}"
HIRING6B_W27,"HIRING6B. Do you think these computer programs would do a better job, a worse job, or do about the same as humans when it comes to… Hiring candidates who fit well with the company's culture","{1.0: 'Better job than humans', 2.0: 'Worse job than humans', 3.0: 'About the same', 99.0: 'Refused'}"
HIRING6C_W27,"HIRING6C. Do you think these computer programs would do a better job, a worse job, or do about the same as humans when it comes to… Choosing candidates from a diverse range of backgrounds","{1.0: 'Better job than humans', 2.0: 'Worse job than humans', 3.0: 'About the same', 99.0: 'Refused'}"
HIRING6D_W27,"HIRING6D. Do you think these computer programs would do a better job, a worse job, or do about the same as humans when it comes to… Providing opportunities for candidates with non-traditional experiences","{1.0: 'Better job than humans', 2.0: 'Worse job than humans', 3.0: 'About the same', 99.0: 'Refused'}"
HIRING7A_W27,HIRING7A. If these computer programs included public data about each candidate - such as the material they post on social media - in making their evaluations,"{1.0: 'Better', 2.0: 'Worse', 3.0: 'No difference', 99.0: 'Refused'}"
HIRING7B_W27,"HIRING7B. If companies used these computer programs to conduct initial screenings of potential candidates, but then interviewed those candidates in the traditional way","{1.0: 'Better', 2.0: 'Worse', 3.0: 'No difference', 99.0: 'Refused'}"
VOICE1_W27,"VOICE1. On a final topic...Do you ever use a voice-controlled digital assistant, such as Apple Siri, Amazon Alexa, Google Assistant, or Microsoft Cortana?","{1.0: 'Yes', 2.0: 'No', 99.0: 'Refused'}"
VOICE2_1_W27,VOICE2_1. Smartphone (On what type of device do you use a digital assistant?),{1.0: 'Smartphone'}
VOICE2_2_W27,"VOICE2_2. A stand-alone device, like an Amazon Echo or Google Home (On what type of device do you use a digital assistant?)","{1.0: 'A stand-alone device, like an Amazon Echo or Google Home'}"
VOICE2_3_W27,VOICE2_3. Computer or tablet (On what type of device do you use a digital assistant?),{1.0: 'Computer or tablet'}
VOICE2_4_W27,VOICE2_4. Some other type of device (On what type of device do you use a digital assistant?),{1.0: 'Some other type of device'}
VOICE2REF_W27,No item in set selected for VOICE2 (1-4),{99.0: 'Refused all items in set'}
VOICE3_W27,"VOICE3. Do you ever use a digital assistant to control other devices in your home, such as a stereo, TV, thermostat, or lighting?","{1.0: 'Yes', 2.0: 'No', 99.0: 'Refused'}"
VOICE4_W27,"VOICE4. When you use digital assistants, how often do they accurately respond to your commands?","{1.0: 'Most of the time', 2.0: 'Some of the time', 3.0: 'Not very often', 99.0: 'Refused'}"
VOICE5A_W27,"VOICE5A. Which of the following, if any, are reasons why you use a voice-controlled digital assistant? It lets me use my phone or device while doing other things with my hands","{1.0: 'Major reason', 2.0: 'Minor reason', 3.0: 'Not a reason', 99.0: 'Refused'}"
VOICE5B_W27,"VOICE5B. Which of the following, if any, are reasons why you use a voice-controlled digital assistant? Spoken language feels more natural than typing","{1.0: 'Major reason', 2.0: 'Minor reason', 3.0: 'Not a reason', 99.0: 'Refused'}"
VOICE5C_W27,"VOICE5C. Which of the following, if any, are reasons why you use a voice-controlled digital assistant? It's easier for children to use","{1.0: 'Major reason', 2.0: 'Minor reason', 3.0: 'Not a reason', 99.0: 'Refused'}"
VOICE5D_W27,"VOICE5D. Which of the following, if any, are reasons why you use a voice-controlled digital assistant? It's fun","{1.0: 'Major reason', 2.0: 'Minor reason', 3.0: 'Not a reason', 99.0: 'Refused'}"
VOICE6_1_W27,"VOICE6_1. Privacy concerns (Which of the following, if any, are reasons why you do not use digital assistants?)",{1.0: 'Privacy concerns'}
VOICE6_2_W27,"VOICE6_2. Don't own any devices that offer this feature (Which of the following, if any, are reasons why you do not use digital assistants?)","{1.0: ""Don't own any devices that offer this feature""}"
VOICE6_3_W27,"VOICE6_3. Too complicated to use (Which of the following, if any, are reasons why you do not use digital assistants?)",{1.0: 'Too complicated to use'}
VOICE6_4_W27,"VOICE6_4. Just not interested (Which of the following, if any, are reasons why you do not use digital assistants?)",{1.0: 'Just not interested'}
VOICE6_5_W27,"VOICE6_5. Some other reason (Which of the following, if any, are reasons why you do not use digital assistants?)",{1.0: 'Some other reason'}
VOICE6_6_W27,"VOICE6_6. None of these (Which of the following, if any, are reasons why you do not use digital assistants?)",{1.0: 'None of these'}
VOICE6REF_W27,No item in set selected for VOICE6 (1-6),{99.0: 'Refused all items in set'}
DRONE1_W27,DRONE1. On a final topic...Do you personally own a flying drone?,"{1.0: 'Yes', 2.0: 'No', 99.0: 'Refused'}"
DRONE2_W27,DRONE2. Have you ever seen someone operating a drone?,"{1.0: 'Yes', 2.0: 'No', 99.0: 'Refused'}"
DRONE3_1_W27,"DRONE3_1. Scared (If you happened to see a drone flying close to where you live, which of these emotions, if any, would you feel?)",{1.0: 'Scared'}
DRONE3_2_W27,"DRONE3_2. Nervous (If you happened to see a drone flying close to where you live, which of these emotions, if any, would you feel?)",{1.0: 'Nervous'}
DRONE3_3_W27,"DRONE3_3. Indifferent (If you happened to see a drone flying close to where you live, which of these emotions, if any, would you feel?)",{1.0: 'Indifferent'}
DRONE3_4_W27,"DRONE3_4. Interested (If you happened to see a drone flying close to where you live, which of these emotions, if any, would you feel?)",{1.0: 'Interested'}
DRONE3_5_W27,"DRONE3_5. Excited (If you happened to see a drone flying close to where you live, which of these emotions, if any, would you feel?)",{1.0: 'Excited'}
DRONE3_6_W27,"DRONE3_6. Curious (If you happened to see a drone flying close to where you live, which of these emotions, if any, would you feel?)",{1.0: 'Curious'}
DRONE3_7_W27,"DRONE3_7. Angry (If you happened to see a drone flying close to where you live, which of these emotions, if any, would you feel?)",{1.0: 'Angry'}
DRONE3_8_W27,"DRONE3_8. None of these (If you happened to see a drone flying close to where you live, which of these emotions, if any, would you feel?)",{1.0: 'None of these'}
DRONE3REF_W27,No item in set selected for DRONE3 (1-8),{99.0: 'Refused all items in set'}
DRONE4A_W27,DRONE4A. Do you think that private citizens should or should not be allowed to pilot drones in the following areas? Near people's homes,"{1.0: 'Should be allowed', 2.0: 'Should not be allowed', 3.0: 'It depends', 99.0: 'Refused'}"
DRONE4B_W27,DRONE4B. Do you think that private citizens should or should not be allowed to pilot drones in the following areas? Near crime scenes or traffic accidents,"{1.0: 'Should be allowed', 2.0: 'Should not be allowed', 3.0: 'It depends', 99.0: 'Refused'}"
DRONE4C_W27,DRONE4C. Do you think that private citizens should or should not be allowed to pilot drones in the following areas? On beaches,"{1.0: 'Should be allowed', 2.0: 'Should not be allowed', 3.0: 'It depends', 99.0: 'Refused'}"
DRONE4D_W27,DRONE4D. Do you think that private citizens should or should not be allowed to pilot drones in the following areas? In public parks,"{1.0: 'Should be allowed', 2.0: 'Should not be allowed', 3.0: 'It depends', 99.0: 'Refused'}"
DRONE4E_W27,"DRONE4E. Do you think that private citizens should or should not be allowed to pilot drones in the following areas? At events, like concerts or rallies","{1.0: 'Should be allowed', 2.0: 'Should not be allowed', 3.0: 'It depends', 99.0: 'Refused'}"
F_CREGION_FINAL,Census region based on self-reported zipcode,"{1.0: 'Northeast', 2.0: 'Midwest', 3.0: 'South', 4.0: 'West'}"
